question,gpt4o_confidence,estimated
Q1,0.8153436387141434,True
Q2,0.8061590728666113,True
Q3,0.6867326999803092,True
Q4,0.8364193842950957,True
Q5,0.784895919742944,True
Q6,0.7551508458745907,True
Q7,0.7878338265752588,True
Q8,0.7484869215411073,True
Q9,0.8198823197116824,True
Q10,0.7543146448244517,True
Q11,0.7683412379641809,True
Q12,0.7054423897231153,True
Q13,0.8312373397935056,True
Q16,0.7565356845023596,True
Q17,0.728348625177453,True
Q18,0.7652674677757103,True
Q19,0.9356108268822894,True
Q20,0.7591161442447866,True
