StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q52,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific ID here before beginning the survey.,"The goal of this survey is to understand how well AI can perform everyday web browsing tasks, so you will be asked to enter a task involving searching and navigating through websites. AI agents will then try to execute the task and return the results to you. We ask you to enter tasks that involve clicking and interacting with different parts of various websites (which we call ""interactive tasks"") and NOT just a simple Google search query (which we call ""search tasks"") where the answer is easily provided by Google, is in the texts and links alongside search results, or is an open-ended question that a chatbot can answer without clicking on any website. 

An example of an interactive task is: ""Give me a summary of the featured article on Wikipedia's homepage"". This is because a human trying to do the task would need to go to Wikipedia's website, identify the featured article, click on it to read the complete article, and then summarize the information. An example of a search task is: ""What is the capital of France?"". A human trying to do this task would Google the answer, and Google would present the exact answer in a box, as well as in the links and short summary text under each search result. 

Here are some examples of valid interactive tasks, which involve interacting with specific websites and clicking on them:
1. What are today's top 20 headlines from CNN?
2. Compare the bus prices for one-way tickets from Boston to New York next Saturday on different ticket purchasing websites.
3. Create a list of the top-ranked chess players on chess.com from Belgium.

Here are some examples of invalid search tasks (and why they are invalid):
1. How do I increase my concentration while working?
This is invalid because it can be answered using a chatbot and does not require clicking on a specific website.
2. What is the weather today? 
Google will output this answer in a box displayed at the top of search results, again does not require clicking on a specific website
3. Who are the members of the Beatles?
Google provides a lot of links with the text containing the answer to this question under those links, so you do not need to click on a website to answer this question.

Please only submit interactive tasks (search tasks will be counted as INVALID submissions and rejected on Prolific), and do not resubmit the example tasks we described above (we already have them). To make sure your task is counted, check that Googling your search query requires at least one click on a website link to successfully complete the task.

Currently, our system cannot interact with websites that require login IDs and passwords, so do not submit any tasks requiring logging into a website. Do not enter any sensitive information (such as usernames, passwords, or personal or financial information of any kind) at any point, either on this form or in the web app interface with the agent. We will only ask you for your Prolific IDs on this form and the web app for payment and cross-verification of answers. Also please avoid submitting tasks involving controversial or political topics, or questions about specific individuals - it is very likely that the system will reject tasks on those topics and you will be unable to complete the survey.

In the text box underneath, enter the description of the interactive task that is to be submitted to the AI agent. Your task must be in English. This is for our own records - you will submit the task to the actual AI agent on another website. Before submitting the answer to this question, copy the text you have entered here. We will check to make sure that the text entered here is identical to the text submitted to the agent.","Now, go to https://bit.ly/BrowserArena. Make sure that you are on the Arena (battle) tab - you can change tabs by clicking through them on the top. Only responses submitted in the Arena (battle) tab will be counted. Do not close this website until you have completed the rest of this Qualtrics form - you will need to refer to it to answer the remaining questions.



Scroll down to where it says ""Enter your prompt"". Paste the task description you submitted in Question 1 in the box. Next to that box there is a User ID box - enter your Prolific ID there. Next to that, there is a Task ID box, for which you should create a unique description (like ""wikipedia_1"") to differentiate it from any other tasks you submit. You can rephrase the language of a previously submitted task to make the task description more specific or more general. We ask that if you are rephrasing a previous task, please reuse the task ID so that we know that you are rephrasing a previous task. You are permitted to submit at most 3 versions of the same task with the same task ID. 



Before pressing the Send button, enter the task ID you are submitting as the answer to this question.","Now press the Send button. Make sure that you submit the task on https://bit.ly/BrowserArena to ensure that your response is recorded - if we do not see a submission on that website, this Qualtrics form submission will be considered invalid and will be rejected on Prolific.  



The task has been sent to two AI agents - you will be asked to rank their outputs. It might take a while for the agents to generate their responses. If after 20 minutes, no response has been generated, or you see only the word ""Error"" on both panes, please end the survey here and let us know. Note: If you submit the form before 20 minutes and tell us that no text was generated, we will count the response as invalid because it might take a while for the response to be generated when there are many users using the app. Please note that you should continue the survey if any text other than the word ""Error"" was generated - if the agent fails to do the task or says that it failed to do a part of the task, you will be able to tell us that in a later section. If only one pane shows an error, please continue with the form and select Yes - you can tell us about the error at a later point in the survey.



If you select No output here, it will end the survey, and any subsequent attempts to retake the survey will be considered invalid. We will check with your prompt to make sure that we can reproduce any errors to verify this survey submission.



Were any outputs produced by the AI agents in the grey textbox?","If you have any feedback about the survey or any additional information about any of your responses, please enter the feedback here.

Please click the next button to submit your survey and be redirected to Prolific - the survey will not be submitted otherwise. Thank you so much for taking the survey!","Both panes for both AI agents should have generated some text demonstrating the steps and actions taken by the AI agent. 

An example of the text that might be generated is as follows:


 🧠 Starting an agent with main_model=anonymized, planner_model=anonymized, extraction_model=anonymized


🚀 Starting task: What is the capital of France?
📍 Step 1
 🤷 Eval: Unknown - Starting fresh session with blank page
🧠 Memory: Initiating Google search for the answer. Step 1/15 completed.
🎯 Next goal: Retrieve capital of France from search results 🛠️ Action 1/1: {""search_google"":{""query"":""capital of France""}} 🔍 Searched for ""capital of France"" in Google

Can you clearly identify the steps in at least one of the agent responses, or is there some other text produced?

For the agent on the left side, does the generated text have clear steps like this, or was the output some very differently formatted text? By clear steps, we mean that you should be able to clearly identify where one step ends and the next step begins because each step will have a line starting with ""📍 Step"" at its start.","If no steps are clearly identifiable, what text was generated by the AI agent on the left side?","Scroll to the very end of the left-side agent's output. It will have produced a log ID, which the text after the phrase: ""Log ID: "". Copy the log ID and paste it here. If no log ID was generated, enter ""N/A"". The log ID will be used to verify that this query was submitted on the BrowserArena website, so please fill this field accurately to avoid your response being marked as invalid and rejected on Prolific.","Now, examine the output of the left-side AI agent. There are several steps, each of which should describe a ""Next Goal"" and an ""Eval"". The Eval sentence is the agent's attempt to evaluate whether it achieved the goal it had set for itself in the previous step. Your next task is to provide a human evaluation of whether the agent correctly performed each step. If the agent said that it will visit a website in a previous step but is unable to click on the link to get there in this step, mark this step wrong. If the agent said that it will collect some information in a previous step, but collects incorrect information in this step, mark this step wrong. There is a GIF generated at the bottom of the agent's output that should show the agent visiting different websites and clicking on different links - use it to see exactly what the agent was doing.

The total number of steps for the left-side AI agent is the largest number X which appears in the output of the model as ""📍 Step X"". For example, the output may contain 5 lines (lines in between the steps have been replaced by ellipses): 

📍 Step 1 
...
📍 Step 2
...
📍 Step 3 
..
📍 Step 3
...
📍 Step 4 
...
Result:

In this example, note that the text ""📍 Step 3"" is repeated. Despite that, the total number of steps in this example is 4, since it is the largest number appearing next to ""📍 Step "". The maximum number of possible steps is 15.

You will now be asked to provide feedback about each step. Please make sure to provide feedback for each individual step and not for all the steps in one box - if feedback is missing for individual steps the response will be rejected. If the step was correctly performed according to you, simply enter the word ""Correct"". If it was performed incorrectly, explain why you think the step was incorrect. Sometimes, the agent will produce multiple lines that have the same step number i.e. multiple lines ""Step 3"" in the previous example. This is because the agent tried to execute Step 3, failed, and then retried. In that case, combine your feedback for all lines with the same step number, i.e. put all your feedback for those steps in the box for Step 3. If this form is asking you about feedback for a step larger than the total number of steps, write ""N/A"". In the previous example, since the total number of steps is 4, all steps from 5-15 should have ""N/A"" in their boxes.  In this example, steps 1-4 should not have ""N/A"" - they should either have ""Correct"" or your own feedback on the step.

Here are some examples of questions whose answers may help you provide feedback for individual steps: did the agent search for the wrong term, or visit the wrong website? Was it unable to click on a particular part of the website? Did the agent generate text that the system could not translate into an action to take on the website?

Please do not write anything except ""N/A"" for any step numbers beyond the total number of steps in the agent's output. We will cross reference these answers with the agent outputs and it is important that feedback is provided only for the steps that the agent generates.

In the below text box, enter your feedback for Step 1. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 2. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 3. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 4. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 5. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 6. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 7. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 8. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 9. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 10. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 11. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 12. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 13. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 14. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 15. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Both panes for both AI agents should have generated some text demonstrating the steps and actions taken by the AI agent. 

An example of the text that might be generated is as follows:


 🧠 Starting an agent with main_model=anonymized, planner_model=anonymized, extraction_model=anonymized

🚀 Starting task: What is the capital of France?

📍 Step 1
 🤷 Eval: Unknown - Starting fresh session with blank page

🧠 Memory: Initiating Google search for the answer. Step 1/15 completed.

🎯 Next goal: Retrieve capital of France from search results 🛠️ Action 1/1: {""search_google"":{""query"":""capital of France""}} 🔍 Searched for ""capital of France"" in Google

Can you clearly identify the steps in at least one of the agent responses, or is there some other text produced?

For the agent on the right side, does the generated text have clear steps like this, or was the output some very differently formatted text? By clear steps, we mean that you should be able to clearly identify where one step ends and the next step begins because each step will have a line starting with ""📍 Step"" at its start.","If no steps are clearly identifiable, what text was generated by the AI agent on the right side?","Scroll to the very end of the right-side agent's output. It will have produced a log ID, which the text after the phrase: ""Log ID: "". Copy the log ID and paste it here. If no log ID was generated, enter ""N/A"". The log ID will be used to verify that this query was submitted on the BrowserArena website, so please fill this field accurately to avoid your response being marked as invalid and rejected on Prolific.","Now, examine the output of the right-side AI agent. There are several steps, each of which should describe a ""Next Goal"" and an ""Eval"". The ""Eval"" sentence is the agent's attempts to evaluate whether it achieved the goal it had set for itself in the previous step. Your next task is to provide a human evaluation of whether the agent correctly performed each step. If the agent said that it will visit a website in a previous step but is unable to click on the link to get there in this step, mark this step wrong. If the agent said that it will collect some information in a previous step, but collects incorrect information in this step, mark this step wrong. There is a GIF generated at the bottom of the agent's output that should show the agent visiting different websites and clicking on different links - use it to see exactly what the agent was doing.


The total number of steps for the right-side AI agent is the largest number X which appears in the output of the model as ""📍 Step X"". For example, the output may contain 5 lines (lines in between the steps have been replaced by ellipses):


📍 Step 1

...

📍 Step 2

...

📍 Step 3

... 
📍 Step 3

...

📍 Step 4
 ...

Result:


In this example, note that the text ""📍 Step 3"" is repeated. Despite that, the total number of steps in this example is 4, since it is the largest number appearing next to ""📍 Step "". The maximum number of possible steps is 15.


You will now be asked to provide feedback about each step. Please make sure to provide feedback for each individual step and not for all the steps in one box - if feedback is missing for individual steps the response will be rejected. If the step was correctly performed according to you, simply enter the word ""Correct"". If it was performed incorrectly, explain why you think the step was incorrect. Sometimes, the agent will produce multiple lines that have the same step number i.e. multiple lines ""Step 3"" in the previous example. This is because the agent tried to execute Step 3, failed, and then retried. In that case, combine your feedback for all lines with the same step number, i.e. put all your feedback for those steps in the box for Step 3. If this form is asking you about feedback for a step larger than the total number of steps, write ""N/A"". In the previous example, since the total number of steps is 4, all steps from 5-15 should have ""N/A"" in their boxes. In this example, steps 1-4 should not have ""N/A"" - they should either have ""Correct"" or your own feedback on the step.

Here are some examples of questions whose answers may help you provide feedback for individual steps: did the agent search for the wrong term, or visit the wrong website? Was it unable to click on a particular part of the website? Did the agent generate text that the system could not translate into an action to take on the website?


Please do not write anything except ""N/A"" for any step numbers beyond the total number of steps in the agent's output. We will cross reference these answers with the agent outputs and it is important that feedback is provided only for the steps that the agent generates. 


In the below text box, enter your feedback for Step 1. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 2. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 3. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 4. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 5. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 6. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 7. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 8. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 9. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 10. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 11. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 12. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 13. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 14. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Enter your feedback for Step 15. Enter ""Correct"" if the step was correctly executed, provide your feedback if the step was incorrectly executed, and enter ""N/A"" if it is larger than the total number of steps.","Now, on the website, vote for the best response between the two models by clicking the Left, Right, or Tie buttons there. Then, enter your vote here as ""Left"", ""Right"", or ""Tie"".  Use your best judgement to analyze which model did better on your task - if both models did not succeed in completing the task, vote for the model that got the closest to completing the task.  Do not click on the button marking both responses as bad - the goal is to evaluate which model gets closest to completion.",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2025-05-02 22:22:20,2025-05-02 22:22:49,Survey Preview,,100,29,True,2025-05-02 22:22:50,R_5DByr5mGz3KgXst,,,,,39.9597,-75.1995,preview,EN," A"," A"," A","No - there was either no text produced or both panes show the output ""Error""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-02 22:22:59,2025-05-02 22:23:57,Survey Preview,,100,58,True,2025-05-02 22:23:58,R_54N7y2YDnKtAVd2,,,,,39.9597,-75.1995,preview,EN,A,A,A,Yes - text was produced showing the agent working through the task,A,"Yes, I can identify the steps from the model's output",,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,"Yes, I can identify the steps from the model's output",,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
2025-05-02 22:33:30,2025-05-02 22:48:51,IP Address,190.101.62.25,100,921,True,2025-05-02 22:48:51,R_3bTosQFDBqtDctM,,,,,-33.4521,-70.6536,anonymous,EN,5f34731aaf13c1394166f29b,Provide me a list of 3-letter words that begin with the letter w,wordswithwlist_1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,03_05_2025_04_36_24_hCn,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,03_05_2025_04_36_24_DPn,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Right,5f34731aaf13c1394166f29b
2025-05-02 22:32:37,2025-05-02 22:56:03,IP Address,191.57.49.49,100,1406,True,2025-05-02 22:56:04,R_5WTsQMyixQ131gQ,,,,,-22.9072,-43.1883,anonymous,EN,6719637f62cec965e1fcb4fa,Give me a list of PS5 games that are on sale on the American PSN right now.,psn_sale,Yes - text was produced showing the agent working through the task,"It was time consuming to wait for the agent to load, and to read all the descriptions.","Yes, I can identify the steps from the model's output",,03_05_2025_04_39_44_lfl,Correct,Correct,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,03_05_2025_04_39_44_LpZ,Correct,Correct,Correct,Correct,Correct,Correct,"The agent clicked on the wrong page, landing on the ""PS5 Pro Enhanced Games"" instead of PS5 deals.",Correct,"The agent failed to reach the PS5 games deals page again, landing on the ""Add-ons by Game"" one.",Correct,"The agent clicked on the wrong page, landing on the ""PS5 Pro Enhanced Games"" instead of PS5 deals.",Correct,"The agent landed on a page listing every PS5 game, not only the ones on sale.",Correct,Correct,Left,6719637f62cec965e1fcb4fa
2025-05-02 22:39:35,2025-05-02 22:58:43,IP Address,105.245.20.245,100,1147,True,2025-05-02 22:58:43,R_8vdfcNt0UYCu4mW,,,,,-26.2309,28.0583,anonymous,EN,67d7ef67392ea169a7d970a8,I’m feeling really overwhelmed lately with school and personal stuff. I was wondering if the university counseling unit can help with that?,Interactive task 1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,Log ID: 03_05_2025_04_41_09_Gqg,Correct,"Correct ","Correct ",N/A,N/A,N/A,N/A,N/A,N/A,N//A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,Log ID: 03_05_2025_04_41_09_QzZ,"Correct ","Correct ","Incorrect ","Incorrect ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Right,67d7ef67392ea169a7d970a8
2025-05-02 22:56:30,2025-05-02 23:04:48,IP Address,105.12.2.158,100,497,True,2025-05-02 23:04:48,R_7WEL6rqRFyV1jdn,,,,,-26.1917,28.0523,anonymous,EN,67da6c21bcd71cf297d8db10,"Searching and navigating through website ",A battle of arena for Al agents to perform web search  tasks,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,N/A,"Correct ","Correct ",Correct,"Correct ","Correct ","Correct ","Correct ","Correct ","Correct ",Correct,"Correct ","Correct ","Correct ","Correct ","Correct ","No, I cannot identify any steps clearly from the model's output","Llama 4 maverick ",,,,,,,,,,,,,,,,,Tie,67da6c21bcd71cf297d8db10
2025-05-02 23:09:29,2025-05-02 23:10:56,IP Address,41.122.128.241,100,87,True,2025-05-02 23:10:57,R_2Cx7PAr56JkgGIx,,,,,-26.2309,28.0583,anonymous,EN,67d11644421446068e1fec14,Give me a summary of the featured article on Arise page about Trumps Election.,Fa1234,"No - there was either no text produced or both panes show the output ""Error""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67d11644421446068e1fec14
2025-05-02 23:00:41,2025-05-02 23:24:38,IP Address,41.13.14.130,100,1437,True,2025-05-02 23:24:39,R_1EwZWvVDZhq4x3P,,,,,-26.2309,28.0583,anonymous,EN,67ee7e81aab6033ac314db9b,How do I reset my browser on Chrome?,How do I reset my browser on Chrome?,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,Log ID: 03_05_2025_05_09_32_cgp,Correct,correct,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,Log ID: 03_05_2025_05_09_32_cgp,Correct,Correct,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Right,67ee7e81aab6033ac314db9b
